question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[13, 0, 35, 17, 15]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Retrieval-Augmented Generation']","[0.7036880254745483, 0.8700269460678101, 0.9295066595077515, 0.9395291209220886, 0.9448952674865723]",False,False,False
Q02,How does RAG use an external knowledge base?,RAG,"[0, 1, 2, 16, 3]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Hallucination', 'Self-RAG', 'Hallucination']","[0.4667450189590454, 0.7292531728744507, 0.8491382002830505, 0.8896225690841675, 0.8997717499732971]",False,False,False
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 4, 16, 20, 0]","['Retrieval-Augmented Generation', 'Document Chunking', 'Self-RAG', 'GraphRAG', 'Retrieval-Augmented Generation']","[0.9491514563560486, 1.1042371988296509, 1.2205129861831665, 1.315260648727417, 1.3454560041427612]",False,False,False
Q04,Why can RAG reduce hallucinations?,RAG,"[3, 25, 2, 27, 0]","['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Retrieval-Augmented Generation']","[0.6718471050262451, 1.065011978149414, 1.0675417184829712, 1.1172202825546265, 1.2814610004425049]",False,False,False
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[3, 0, 34, 17, 16]","['Hallucination', 'Retrieval-Augmented Generation', 'Trust Score', 'Self-RAG', 'Self-RAG']","[0.7887417674064636, 0.8993023633956909, 0.9159640669822693, 0.9852883815765381, 0.9923895001411438]",False,False,False
Q06,What factors affect the quality of a RAG system?,RAG,"[4, 16, 3, 0, 25]","['Document Chunking', 'Self-RAG', 'Hallucination', 'Retrieval-Augmented Generation', 'Hallucination']","[0.7568787932395935, 1.0980513095855713, 1.1938025951385498, 1.207536220550537, 1.2512342929840088]",False,False,False
Q07,What is document chunking?,Document Chunking,"[5, 6, 4, 7, 1]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation']","[0.38083621859550476, 0.435698926448822, 0.7316681146621704, 0.8659875392913818, 1.1692259311676025]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[5, 6, 7, 4, 1]","['Document Chunking', 'Document Chunking', 'Text Embeddings', 'Document Chunking', 'Retrieval-Augmented Generation']","[0.5031808614730835, 0.5763025283813477, 0.7874742150306702, 0.8594017028808594, 1.246612787246704]",True,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[6, 5, 4, 7, 10]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Text Embeddings', 'Vector Similarity']","[0.5193988084793091, 0.8094655275344849, 0.8635494112968445, 1.1593379974365234, 1.2428653240203857]",True,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[6, 5, 4, 1, 7]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Retrieval-Augmented Generation', 'Text Embeddings']","[0.7106132507324219, 0.9103310704231262, 1.0279145240783691, 1.2730751037597656, 1.2737903594970703]",True,True,True
Q11,What are text embeddings?,Text Embeddings,"[7, 9, 8, 2, 10]","['Text Embeddings', 'Text Embeddings', 'Text Embeddings', 'Hallucination', 'Vector Similarity']","[0.7035689353942871, 0.8535332083702087, 0.9862280488014221, 0.9992164373397827, 1.0801472663879395]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[10, 8, 9, 12, 11]","['Vector Similarity', 'Text Embeddings', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Vector Similarity']","[0.8219506144523621, 0.8749542832374573, 0.9086102247238159, 0.9763903617858887, 1.1116249561309814]",False,True,True
