question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[7, 0, 6, 8, 18]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.804632306098938, 0.8479164242744446, 0.9550521969795227, 1.0086476802825928, 1.0803303718566895]",False,False,False
Q02,How does RAG use an external knowledge base?,RAG,"[0, 1, 7, 8, 2]","['Retrieval-Augmented Generation', 'Hallucination', 'Retrieval-Augmented Generation', 'Self-RAG', 'Document Chunking']","[0.5231311917304993, 0.8054402470588684, 0.89924556016922, 0.9210476875305176, 0.9509101510047913]",False,False,False
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[2, 7, 0, 10, 8]","['Document Chunking', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'GraphRAG', 'Self-RAG']","[1.2317975759506226, 1.2526532411575317, 1.2638301849365234, 1.3685801029205322, 1.4638330936431885]",False,False,False
Q04,Why can RAG reduce hallucinations?,RAG,"[1, 12, 13, 7, 2]","['Hallucination', 'Hallucination', 'Hallucination', 'Retrieval-Augmented Generation', 'Document Chunking']","[0.9978545308113098, 1.2176426649093628, 1.2481746673583984, 1.4393153190612793, 1.4409347772598267]",False,False,False
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[1, 8, 17, 0, 7]","['Hallucination', 'Self-RAG', 'Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.9479017853736877, 0.9748666286468506, 1.0021580457687378, 1.0244135856628418, 1.0614888668060303]",False,False,False
Q06,What factors affect the quality of a RAG system?,RAG,"[2, 7, 8, 0, 1]","['Document Chunking', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Hallucination']","[1.0294809341430664, 1.2580664157867432, 1.3090438842773438, 1.3146042823791504, 1.3321800231933594]",False,False,False
Q07,What is document chunking?,Document Chunking,"[2, 3, 0, 10, 1]","['Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'GraphRAG', 'Hallucination']","[0.5637799501419067, 0.7397409677505493, 1.2578352689743042, 1.2927616834640503, 1.3148659467697144]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[2, 3, 10, 0, 8]","['Document Chunking', 'Text Embeddings', 'GraphRAG', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.6998687386512756, 0.7740994691848755, 1.3536853790283203, 1.3661487102508545, 1.4204087257385254]",True,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[2, 3, 4, 5, 0]","['Document Chunking', 'Text Embeddings', 'Text Embeddings', 'Vector Similarity', 'Retrieval-Augmented Generation']","[0.6664203405380249, 0.8855540752410889, 1.2816014289855957, 1.2911983728408813, 1.2956440448760986]",True,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[2, 3, 0, 12, 7]","['Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Hallucination', 'Retrieval-Augmented Generation']","[0.945993185043335, 1.0884630680084229, 1.3688380718231201, 1.3845454454421997, 1.3984527587890625]",True,True,True
Q11,What are text embeddings?,Text Embeddings,"[3, 4, 5, 1, 0]","['Text Embeddings', 'Text Embeddings', 'Vector Similarity', 'Hallucination', 'Retrieval-Augmented Generation']","[0.7060641050338745, 0.8740901947021484, 1.0191748142242432, 1.1276885271072388, 1.191117525100708]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[4, 5, 6, 3, 0]","['Text Embeddings', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Text Embeddings', 'Retrieval-Augmented Generation']","[0.8315770030021667, 0.8538594245910645, 0.9952136874198914, 1.0034997463226318, 1.1594045162200928]",True,True,True
