id,question,expected_section,retrieved_indices,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[0, 12, 11, 29, 13]","[0.8344131708145142, 0.9144470691680908, 0.9328814148902893, 0.9853886961936951, 1.0342328548431396]",True,True,True
Q02,How does RAG use an external knowledge base?,RAG,"[0, 2, 26, 28, 3]","[0.5612514615058899, 0.7818684577941895, 0.7957755327224731, 0.8689990639686584, 0.9147319793701172]",True,True,True
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 3, 11, 0, 2]","[0.9756208062171936, 1.0740584135055542, 1.1959331035614014, 1.2502195835113525, 1.2541382312774658]",False,True,True
Q04,Why can RAG reduce hallucinations?,RAG,"[2, 19, 20, 3, 0]","[0.8922187089920044, 0.9960722327232361, 1.3356208801269531, 1.3443355560302734, 1.4207518100738525]",False,False,True
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[2, 0, 26, 19, 12]","[0.8098180890083313, 1.0035309791564941, 1.1185200214385986, 1.124267816543579, 1.1265227794647217]",False,True,True
Q06,What factors affect the quality of a RAG system?,RAG,"[3, 2, 19, 12, 26]","[0.7594083547592163, 0.8998263478279114, 1.0788028240203857, 1.0925889015197754, 1.1253340244293213]",False,False,False
Q07,What is document chunking?,Document Chunking,"[3, 4, 5, 1, 2]","[0.6439968943595886, 0.6459548473358154, 0.6538500785827637, 0.842056930065155, 1.0672194957733154]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[4, 5, 3, 1, 15]","[0.5914937257766724, 0.7381383776664734, 0.7991551160812378, 1.0103894472122192, 1.2377698421478271]",False,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[4, 3, 5, 10, 1]","[0.8036297559738159, 0.8080256581306458, 0.9644519090652466, 1.1298635005950928, 1.1748169660568237]",False,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[5, 4, 3, 1, 2]","[0.7322038412094116, 0.7984776496887207, 0.9454872608184814, 1.1490015983581543, 1.2536890506744385]",False,True,True
Q11,What are text embeddings?,Text Embeddings,"[5, 6, 7, 1, 4]","[0.7670522332191467, 0.7783641219139099, 0.8632903099060059, 0.8808683156967163, 1.0579229593276978]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[7, 9, 6, 8, 4]","[0.8175579309463501, 0.8635001182556152, 0.8963404893875122, 1.0185935497283936, 1.0988961458206177]",False,False,False
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[6, 1, 17, 7, 22]","[0.9717477560043335, 1.2292746305465698, 1.33069908618927, 1.4137150049209595, 1.4429926872253418]",False,False,False
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[7, 1, 6, 9, 4]","[0.9875949621200562, 1.0821961164474487, 1.1928036212921143, 1.3231854438781738, 1.3381773233413696]",False,False,False
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[8, 0, 26, 2, 3]","[0.8963016867637634, 1.0865920782089233, 1.1005887985229492, 1.117143154144287, 1.1382806301116943]",False,False,False
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[8, 24, 7, 22, 23]","[1.0921822786331177, 1.3930203914642334, 1.448677897453308, 1.4933334589004517, 1.495194911956787]",False,True,True
Q17,What is FAISS used for?,Vector Similarity,"[9, 8, 16, 12, 11]","[1.2297708988189697, 1.3732316493988037, 1.5147411823272705, 1.682310938835144, 1.7125208377838135]",False,False,False
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[29, 9, 0, 10, 12]","[1.1331861019134521, 1.2289037704467773, 1.239106297492981, 1.2550179958343506, 1.2801344394683838]",False,False,False
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[0, 29, 11, 9, 12]","[0.8382799029350281, 0.8439517021179199, 0.8907553553581238, 0.9453074336051941, 0.9788152575492859]",False,False,True
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[10, 11, 26, 2, 3]","[0.5936316251754761, 0.9148126840591431, 1.0835461616516113, 1.1551854610443115, 1.1890628337860107]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[10, 11, 26, 3, 28]","[1.0326504707336426, 1.0805821418762207, 1.3950769901275635, 1.5549125671386719, 1.5866360664367676]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[12, 26, 11, 0, 3]","[0.7921598553657532, 0.9461575746536255, 1.0169070959091187, 1.1194212436676025, 1.1520413160324097]",True,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[12, 11, 19, 0, 26]","[0.8339125514030457, 1.010791540145874, 1.1014699935913086, 1.1175339221954346, 1.126272201538086]",True,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[14, 13, 15, 26, 24]","[0.5687205791473389, 0.6826401352882385, 0.6964789628982544, 1.0936508178710938, 1.2646217346191406]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[13, 15, 26, 14, 28]","[0.8865739107131958, 0.9311651587486267, 1.1933517456054688, 1.216904640197754, 1.5035333633422852]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[16, 27, 15, 17, 26]","[0.6740841865539551, 1.0410820245742798, 1.1033896207809448, 1.274200439453125, 1.5226223468780518]",True,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[16, 17, 15, 27, 26]","[0.6725404262542725, 1.0895434617996216, 1.0932867527008057, 1.1345078945159912, 1.364799976348877]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[19, 20, 18, 2, 17]","[0.8464337587356567, 1.1995084285736084, 1.3883304595947266, 1.49534010887146, 1.4998364448547363]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[22, 23, 6, 7, 25]","[0.7328547239303589, 1.1310391426086426, 1.1744842529296875, 1.218675136566162, 1.2258800268173218]",True,True,True
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[24, 25, 21, 27, 23]","[0.8390387892723083, 1.2018446922302246, 1.5007736682891846, 1.5927523374557495, 1.5983242988586426]",True,True,True
