id,question,expected_section,retrieved_indices,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[0, 9, 13, 11, 10]","[0.8345712423324585, 0.8737349510192871, 0.9028242230415344, 0.9117658138275146, 0.961502194404602]",True,True,True
Q02,How does RAG use an external knowledge base?,RAG,"[0, 26, 12, 10, 18]","[0.4874453544616699, 0.8391103148460388, 0.8645234107971191, 0.8860953450202942, 0.8949328660964966]",True,True,True
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 3, 11, 0, 12]","[0.9426159858703613, 1.1271498203277588, 1.199784517288208, 1.2145733833312988, 1.2476508617401123]",False,True,True
Q04,Why can RAG reduce hallucinations?,RAG,"[2, 19, 20, 3, 0]","[1.0540823936462402, 1.0825209617614746, 1.3518825769424438, 1.3529274463653564, 1.3656880855560303]",False,False,True
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[25, 0, 12, 2, 26]","[0.8238171935081482, 0.9563506245613098, 0.9843046069145203, 1.0697410106658936, 1.075297474861145]",False,True,True
Q06,What factors affect the quality of a RAG system?,RAG,"[3, 12, 11, 0, 25]","[0.8941735029220581, 1.159311294555664, 1.243356704711914, 1.2439740896224976, 1.2656924724578857]",False,True,True
Q07,What is document chunking?,Document Chunking,"[4, 3, 5, 1, 2]","[0.46356654167175293, 0.6065548658370972, 0.6530882120132446, 1.0288066864013672, 1.076532244682312]",False,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[4, 5, 3, 1, 2]","[0.5809069871902466, 0.7192858457565308, 0.7550837993621826, 1.081956386566162, 1.2351908683776855]",False,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[4, 3, 5, 1, 10]","[0.649977445602417, 0.814094066619873, 0.9527876377105713, 1.2762227058410645, 1.2868573665618896]",False,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[5, 4, 3, 1, 2]","[0.8260747790336609, 0.8783084154129028, 0.9489508271217346, 1.2867310047149658, 1.3224502801895142]",False,True,True
Q11,What are text embeddings?,Text Embeddings,"[5, 6, 1, 7, 8]","[0.7628638744354248, 0.897574782371521, 0.9668419361114502, 1.0055210590362549, 1.0686404705047607]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[7, 6, 8, 9, 5]","[0.7870160341262817, 0.9513872861862183, 0.9825469255447388, 1.0304937362670898, 1.1117627620697021]",False,False,True
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[6, 17, 1, 18, 0]","[1.0299696922302246, 1.135626196861267, 1.157918930053711, 1.2091041803359985, 1.2916324138641357]",False,False,False
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[7, 1, 9, 10, 26]","[0.9155793786048889, 1.1037131547927856, 1.2122819423675537, 1.2264823913574219, 1.2281482219696045]",False,False,False
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[8, 9, 11, 3, 0]","[0.8450192213058472, 1.1233234405517578, 1.2253166437149048, 1.22698974609375, 1.246349811553955]",False,False,False
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[8, 7, 24, 9, 22]","[1.0275871753692627, 1.363855004310608, 1.4404100179672241, 1.4685958623886108, 1.527209758758545]",False,True,True
Q17,What is FAISS used for?,Vector Similarity,"[9, 8, 16, 12, 0]","[1.2558543682098389, 1.4495240449905396, 1.4555929899215698, 1.4906315803527832, 1.5020272731781006]",False,False,False
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[29, 9, 28, 10, 13]","[1.1442598104476929, 1.1693577766418457, 1.21346116065979, 1.2336294651031494, 1.269919991493225]",False,False,False
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[9, 0, 10, 11, 13]","[0.7706866264343262, 0.7744036912918091, 0.8110288381576538, 0.8493973016738892, 0.8671713471412659]",True,True,True
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[10, 11, 26, 28, 12]","[0.6813185214996338, 0.7835519313812256, 1.0298972129821777, 1.138160228729248, 1.2658730745315552]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[11, 10, 26, 12, 0]","[0.844177782535553, 1.0733712911605835, 1.3913953304290771, 1.5146894454956055, 1.5293266773223877]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[12, 11, 0, 3, 26]","[0.9642753601074219, 1.026341199874878, 1.2098286151885986, 1.2434109449386597, 1.3203179836273193]",True,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[12, 11, 0, 3, 26]","[0.8394389152526855, 0.8797288537025452, 1.020561933517456, 1.0879342555999756, 1.2482576370239258]",True,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[14, 15, 13, 24, 26]","[0.5901396870613098, 0.7101870179176331, 0.7148845195770264, 1.2149760723114014, 1.2645509243011475]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[15, 13, 14, 26, 3]","[0.7410826683044434, 0.968291163444519, 1.1082618236541748, 1.322948694229126, 1.3981176614761353]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[16, 15, 17, 27, 0]","[0.8400366306304932, 1.009321689605713, 1.0973024368286133, 1.2368488311767578, 1.5659523010253906]",True,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[16, 17, 15, 27, 18]","[0.8531287908554077, 1.0327935218811035, 1.2315430641174316, 1.331040620803833, 1.6085472106933594]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[19, 20, 2, 18, 11]","[0.7342052459716797, 0.9661587476730347, 1.2532386779785156, 1.5487022399902344, 1.6286653280258179]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[22, 24, 21, 25, 23]","[0.7822782397270203, 1.1219968795776367, 1.1725465059280396, 1.2132140398025513, 1.2197604179382324]",True,True,True
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[24, 25, 21, 23, 27]","[0.7793059349060059, 1.2716898918151855, 1.4745162725448608, 1.4988315105438232, 1.5201209783554077]",True,True,True
