question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[0, 9, 13, 11, 10]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.8345712423324585, 0.8737350106239319, 0.9028241634368896, 0.9117658138275146, 0.9615020155906677]",False,False,False
Q02,How does RAG use an external knowledge base?,RAG,"[0, 26, 12, 10, 18]","['Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Retrieval-Augmented Generation', 'ReAct']","[0.4874453842639923, 0.8391103148460388, 0.8645234107971191, 0.886095404624939, 0.8949328660964966]",False,False,False
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 3, 11, 0, 12]","['Retrieval-Augmented Generation', 'Document Chunking', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.9426159262657166, 1.1271495819091797, 1.199784517288208, 1.2145733833312988, 1.2476506233215332]",False,False,False
Q04,Why can RAG reduce hallucinations?,RAG,"[2, 19, 20, 3, 0]","['Hallucination', 'Hallucination', 'Hallucination', 'Document Chunking', 'Retrieval-Augmented Generation']","[1.0540826320648193, 1.0825210809707642, 1.3518825769424438, 1.3529276847839355, 1.3656883239746094]",False,False,False
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[25, 0, 12, 2, 26]","['Trust Score', 'Retrieval-Augmented Generation', 'Self-RAG', 'Hallucination', 'Self-RAG']","[0.8238170742988586, 0.9563506245613098, 0.9843046069145203, 1.0697407722473145, 1.0752973556518555]",False,False,False
Q06,What factors affect the quality of a RAG system?,RAG,"[3, 12, 11, 0, 25]","['Document Chunking', 'Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Trust Score']","[0.8941736221313477, 1.1593115329742432, 1.243356704711914, 1.2439740896224976, 1.2656924724578857]",False,False,False
Q07,What is document chunking?,Document Chunking,"[4, 3, 5, 1, 2]","['Document Chunking', 'Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Hallucination']","[0.46356654167175293, 0.6065548062324524, 0.6530882120132446, 1.0288066864013672, 1.0765321254730225]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[4, 5, 3, 1, 2]","['Document Chunking', 'Text Embeddings', 'Document Chunking', 'Retrieval-Augmented Generation', 'Hallucination']","[0.5809071063995361, 0.7192859053611755, 0.7550837993621826, 1.081956386566162, 1.2351908683776855]",True,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[4, 3, 5, 1, 10]","['Document Chunking', 'Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.6499775648117065, 0.8140941858291626, 0.9527877569198608, 1.276222825050354, 1.2868573665618896]",True,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[5, 4, 3, 1, 2]","['Text Embeddings', 'Document Chunking', 'Document Chunking', 'Retrieval-Augmented Generation', 'Hallucination']","[0.8260748386383057, 0.8783085942268372, 0.9489509463310242, 1.2867310047149658, 1.3224502801895142]",False,True,True
Q11,What are text embeddings?,Text Embeddings,"[5, 6, 1, 7, 8]","['Text Embeddings', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Vector Similarity', 'Vector Similarity']","[0.76286381483078, 0.897574782371521, 0.9668419361114502, 1.0055210590362549, 1.0686404705047607]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[7, 6, 8, 9, 5]","['Vector Similarity', 'Text Embeddings', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Text Embeddings']","[0.7870162129402161, 0.9513875246047974, 0.9825470447540283, 1.0304938554763794, 1.1117630004882812]",False,True,True
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[6, 17, 1, 18, 0]","['Text Embeddings', 'ReAct', 'Retrieval-Augmented Generation', 'ReAct', 'Retrieval-Augmented Generation']","[1.0299692153930664, 1.135625958442688, 1.1579186916351318, 1.209104061126709, 1.291632056236267]",True,True,True
