model,question_id,question,expected_section,retrieved_chunk_ids,distances,hit@1,hit@3,context,answer,generation_time_seconds,correct,partially_correct,incorrect,unsupported,hallucinated
Gemma-3-4B-IT,Q01,What is Retrieval-Augmented Generation?,RAG,"[0, 9, 13]","[0.8345712423324585, 0.8737350106239319, 0.9028241634368896]",True,True,"RAG Knowledge Base

1. Retrieval-Augmented Generation

Retrieval-Augmented Generation, commonly known as RAG, is a technique that combines information retrieval with large language model generation. Instead of relying only on information stored inside the parameters of a language model, a RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.

A typical RAG pipeline contains several stages. First, documents are co

an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret

generation process more adaptive. Instead of always retrieving the same number of documents, the system can make decisions about retrieval and reflection.

Self-RAG can improve response quality, but relying on a language model to critique its own output does not necessarily guarantee that every factual claim is independently verified.

7. GraphRAG

GraphRAG is a retrieval approach that uses graph structures to represent relationships between information.

In a graph-based knowledge representatio","Retrieval-Augmented Generation, commonly known as RAG, is a technique that combines information retrieval with large language model generation. Instead of relying only on information stored inside the parameters of a language model, a RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.",74.37444725200021,,,,,
Gemma-3-4B-IT,Q02,How does RAG use an external knowledge base?,RAG,"[0, 26, 12]","[0.4874453842639923, 0.8391103148460388, 0.8645234107971191]",True,True,"RAG Knowledge Base

1. Retrieval-Augmented Generation

Retrieval-Augmented Generation, commonly known as RAG, is a technique that combines information retrieval with large language model generation. Instead of relying only on information stored inside the parameters of a language model, a RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.

A typical RAG pipeline contains several stages. First, documents are co

n algorithm.

15. Limitations of Existing RAG Approaches

Traditional RAG can fail when irrelevant information is retrieved.

CRAG attempts to correct poor retrieval but primarily focuses on the retrieval stage.

Self-RAG introduces self-reflection but relies on the model's ability to evaluate its own responses.

GraphRAG improves relationship-based retrieval but does not automatically guarantee that the final response is factually correct.

ReAct enables reasoning and external actions but the f

s self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, generate a response using retrieved evidence, evaluate its response, and revise the response when required.

A simplified Self-RAG process is:

User Query
→ Retrieval
→ Response Generation
→ Self-Critique
→ Evaluation
→ Additional Retrieval or Revision
→ Final Response

Self-RAG attempts to make the generation process more adaptive. Instead of always retrieving the same number of documents, the sys",A RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.,39.12191915299991,,,,,
Gemma-3-4B-IT,Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 3, 11]","[0.9426159262657166, 1.1271495819091797, 1.199784517288208]",True,True,"text to the language model.

A typical RAG pipeline contains several stages. First, documents are collected and divided into smaller chunks. Each chunk is converted into a numerical vector representation called an embedding. These embeddings are stored in a vector database. When a user submits a question, the question is also converted into an embedding. The system compares the query embedding with document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided

ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided 

d by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Evaluation
→ Correct Retrieval
→ Additional Retrieval if Necessary
→ Context Construction
→ Language Model
→ Final Answer

CRAG focuses primarily on improving the quality of the evidence supplied to the language model.

6. Self-RAG

Self-RAG, or Self-Reflective Retrieval-Augmented Generation, introduces self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, g","A typical RAG pipeline contains several stages. First, documents are collected and divided into smaller chunks. Each chunk is converted into a numerical vector representation called an embedding. These embeddings are stored in a vector database. When a user submits a question, the question is also converted into an embedding. The system compares the query embedding with document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided.",72.52507286499986,,,,,
Gemma-3-4B-IT,Q04,Why can RAG reduce hallucinations?,RAG,"[2, 19, 20]","[1.0540826320648193, 1.0825210809707642, 1.3518825769424438]",True,True,"h document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided to a language model, which generates the final answer.

RAG can reduce hallucinations because the language model receives external evidence. However, RAG does not guarantee that the generated answer is correct. If irrelevant or incorrect documents are retrieved, the language model may generate an incorrect answer based on the retrieved information.

The quality of a RAG system depends on several 

eeds, and response qualities.

The choice of LLM can therefore affect the performance of a RAG system.

10. Hallucination in Large Language Models

Hallucination occurs when a language model produces information that is unsupported, incorrect, fabricated, or inconsistent with available evidence.

A response can appear fluent and confident while still containing false information.

For example, if a document states that a company was founded in 2015 but the language model generates that the compa

a document states that a company was founded in 2015 but the language model generates that the company was founded in 2012, the generated claim contradicts the available evidence.

Hallucinations can occur because of insufficient knowledge, incorrect retrieval, ambiguous questions, outdated information, or errors during generation.

11. Evidence and Hallucination Detection

A generated answer can contain multiple individual claims. Each claim can be compared against retrieved evidence to determi",RAG can reduce hallucinations because the language model receives external evidence.,46.24835063499995,,,,,
Gemma-3-4B-IT,Q05,Does RAG guarantee that generated answers are correct?,RAG,"[25, 0, 12]","[0.8238170742988586, 0.9563506245613098, 0.9843046069145203]",True,True,"ility of a generated response.

Possible signals include:

Semantic similarity
Retrieval quality
NLI result
Evidence agreement
Source quality
Graph relationships
Uncertainty

A system can use these signals to classify a response into categories such as:

Trusted
Uncertain
Hallucinated

The exact scoring mechanism can be designed and experimentally evaluated as part of a proposed RAG or verification algorithm.

15. Limitations of Existing RAG Approaches

Traditional RAG can fail when irrelevant i

RAG Knowledge Base

1. Retrieval-Augmented Generation

Retrieval-Augmented Generation, commonly known as RAG, is a technique that combines information retrieval with large language model generation. Instead of relying only on information stored inside the parameters of a language model, a RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.

A typical RAG pipeline contains several stages. First, documents are co

s self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, generate a response using retrieved evidence, evaluate its response, and revise the response when required.

A simplified Self-RAG process is:

User Query
→ Retrieval
→ Response Generation
→ Self-Critique
→ Evaluation
→ Additional Retrieval or Revision
→ Final Response

Self-RAG attempts to make the generation process more adaptive. Instead of always retrieving the same number of documents, the sys",The information is not available in the provided context.,47.19403273800026,,,,,
Gemma-3-4B-IT,Q06,What factors affect the quality of a RAG system?,RAG,"[3, 12, 11]","[0.8941736221313477, 1.1593115329742432, 1.243356704711914]",True,True,"ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided 

s self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, generate a response using retrieved evidence, evaluate its response, and revise the response when required.

A simplified Self-RAG process is:

User Query
→ Retrieval
→ Response Generation
→ Self-Critique
→ Evaluation
→ Additional Retrieval or Revision
→ Final Response

Self-RAG attempts to make the generation process more adaptive. Instead of always retrieving the same number of documents, the sys

d by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Evaluation
→ Correct Retrieval
→ Additional Retrieval if Necessary
→ Context Construction
→ Language Model
→ Final Answer

CRAG focuses primarily on improving the quality of the evidence supplied to the language model.

6. Self-RAG

Self-RAG, or Self-Reflective Retrieval-Augmented Generation, introduces self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, g","The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.",61.45821766900008,,,,,
Gemma-3-4B-IT,Q07,What is document chunking?,Document Chunking,"[4, 3, 5]","[0.46356654167175293, 0.6065548062324524, 0.6530882120132446]",False,True,"that can be processed by an embedding model and retrieved independently.

A document can be divided into fixed-size chunks based on characters, words, or tokens. Another approach is semantic chunking, where text is divided according to meaningful sections or topics.

Chunk size affects retrieval performance. Very small chunks may lose important context, while very large chunks may contain unrelated information. Chunk overlap can be used to preserve information that occurs near the boundary betwe

ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided 

d information. Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.

For example, a document can be divided into chunks of 500 tokens with an overlap of 50 tokens. The optimal chunk size depends on the type and structure of the documents being processed.

3. Text Embeddings

Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.",Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.,50.910070842000096,,,,,
Gemma-3-4B-IT,Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[4, 5, 3]","[0.5809071063995361, 0.7192859053611755, 0.7550837993621826]",False,True,"that can be processed by an embedding model and retrieved independently.

A document can be divided into fixed-size chunks based on characters, words, or tokens. Another approach is semantic chunking, where text is divided according to meaningful sections or topics.

Chunk size affects retrieval performance. Very small chunks may lose important context, while very large chunks may contain unrelated information. Chunk overlap can be used to preserve information that occurs near the boundary betwe

d information. Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.

For example, a document can be divided into chunks of 500 tokens with an overlap of 50 tokens. The optimal chunk size depends on the type and structure of the documents being processed.

3. Text Embeddings

Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided ","A document can be divided into fixed-size chunks based on characters, words, or tokens. Another approach is semantic chunking, where text is divided according to meaningful sections or topics.",43.42614470200033,,,,,
Gemma-3-4B-IT,Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[4, 3, 5]","[0.6499775648117065, 0.8140941858291626, 0.9527877569198608]",False,True,"that can be processed by an embedding model and retrieved independently.

A document can be divided into fixed-size chunks based on characters, words, or tokens. Another approach is semantic chunking, where text is divided according to meaningful sections or topics.

Chunk size affects retrieval performance. Very small chunks may lose important context, while very large chunks may contain unrelated information. Chunk overlap can be used to preserve information that occurs near the boundary betwe

ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided 

d information. Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.

For example, a document can be divided into chunks of 500 tokens with an overlap of 50 tokens. The optimal chunk size depends on the type and structure of the documents being processed.

3. Text Embeddings

Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.","Very small chunks may lose important context, while very large chunks may contain unrelated information.",35.75307388900001,,,,,
Gemma-3-4B-IT,Q10,How does chunk overlap help preserve context?,Document Chunking,"[5, 4, 3]","[0.8260748386383057, 0.8783085942268372, 0.9489509463310242]",False,True,"d information. Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.

For example, a document can be divided into chunks of 500 tokens with an overlap of 50 tokens. The optimal chunk size depends on the type and structure of the documents being processed.

3. Text Embeddings

Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

that can be processed by an embedding model and retrieved independently.

A document can be divided into fixed-size chunks based on characters, words, or tokens. Another approach is semantic chunking, where text is divided according to meaningful sections or topics.

Chunk size affects retrieval performance. Very small chunks may lose important context, while very large chunks may contain unrelated information. Chunk overlap can be used to preserve information that occurs near the boundary betwe

ncorrect answer based on the retrieved information.

The quality of a RAG system depends on several factors, including document preprocessing, chunk size, chunk overlap, embedding quality, retrieval strategy, number of retrieved documents, context construction, and language model capability.

2. Document Chunking

Document chunking is the process of dividing a large document into smaller sections that can be processed by an embedding model and retrieved independently.

A document can be divided ",Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.,48.372013710000374,,,,,
